County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Kinney,Poverty,% POV BLACK,20.38076443720926,1.0,0.002188055817142963,0.0
Kleberg,Poverty,% POV BLACK,10.709235562790742,0.5254579923037057,0.011405453235898028,1.0
Knox,Poverty,% POV BLACK,20.39423556279074,1.000660972537266,0.002346244938866084,0.0
La Salle,Poverty,% POV BLACK,20.38076443720926,1.0,0.004660020442774275,0.0
Lamar,Poverty,% POV BLACK,4.91692787048305,0.2412533585593184,0.00845006193727535,1.0
Lamb,Poverty,% POV BLACK,13.831235562790745,0.6786416478833832,0.006190666740661778,1.0
Lampasas,Poverty,% POV BLACK,18.50076443720926,0.9077561587156332,0.013728349208430765,1.0
Lavaca,Poverty,% POV BLACK,3.564235562790742,0.17488232955008795,0.0024870565018670393,1.0
Lee,Poverty,% POV BLACK,12.716735562790738,0.6239577323985814,0.007626051601100438,0.0
Leon,Poverty,% POV BLACK,14.972568896124073,0.7346421642943178,0.008075205778994248,0.0
Liberty,Poverty,% POV BLACK,6.662529143091611,0.3269028089509636,0.020945932177027813,1.0
Limestone,Poverty,% POV BLACK,1.60548556279074,0.0787745507651125,0.001219927620207064,1.0
Lipscomb,Poverty,% POV BLACK,20.38076443720926,1.0,0.002139106022576006,0.0
Live Oak,Poverty,% POV BLACK,29.61923556279074,1.4532936511799706,0.011519343642537618,0.0
Llano,Poverty,% POV BLACK,20.38076443720926,1.0,0.014854864085512292,1.0
Loving,Poverty,% POV BLACK,20.38076443720926,1.0,4.475409788978895e-05,0.0
Lubbock,Poverty,% POV BLACK,0.905744996753004,0.044441169002443354,0.009653710864839557,1.0
Lynn,Poverty,% POV BLACK,6.65409777054259,0.32648911629605865,0.001277612780816227,0.0
Madison,Poverty,% POV BLACK,32.421735562790744,1.590800760328608,0.014967605413348782,0.0
Marion,Poverty,% POV BLACK,0.5342355627907409,0.026212734288581663,0.00017826035565807503,0.0
Martin,Poverty,% POV BLACK,20.38076443720926,1.0,0.0036621439163878862,0.0
Mason,Poverty,% POV BLACK,20.38076443720926,1.0,0.0027642648274739954,0.0
Matagorda,Poverty,% POV BLACK,15.77769710125228,0.7741464825748569,0.01962654651002707,1.0
Maverick,Poverty,% POV BLACK,20.38076443720926,1.0,0.04047938225853458,1.0
McCulloch,Poverty,% POV BLACK,19.75076443720926,0.9690884999951325,0.005170598446123849,1.0
McLennan,Poverty,% POV BLACK,5.5285459076183265,0.27126293150834097,0.04942909936789938,1.0
McMullen,Poverty,% POV BLACK,20.38076443720926,1.0,0.0004195696677167714,0.0
Medina,Poverty,% POV BLACK,1.6362189826638023,0.08028251284218513,0.0028490017900769608,1.0
Menard,Poverty,% POV BLACK,20.38076443720926,1.0,0.0013719928134338425,0.0
Midland,Poverty,% POV BLACK,14.420223896668718,0.7075408746858213,0.08410268430204859,1.0
Milam,Poverty,% POV BLACK,4.19219300863783,0.20569360985224494,0.003560565832905162,1.0
Mills,Poverty,% POV BLACK,29.61923556279074,1.4532936511799706,0.004528468925553385,0.0
Mitchell,Poverty,% POV BLACK,11.365764437209258,0.5576711546922513,0.0035058288176906837,1.0
Montague,Poverty,% POV BLACK,4.619235562790742,0.2266468255899853,0.003164257285619098,1.0
Montgomery,Poverty,% POV BLACK,3.1816666928483563,0.15611125395471293,0.06773122567907873,1.0
Moore,Poverty,% POV BLACK,6.682431103875926,0.32787931603172743,0.0048969699174404475,1.0
Morris,Poverty,% POV BLACK,15.419235562790746,0.7565582542448591,0.006334293606547539,0.0
Motley,Poverty,% POV BLACK,20.38076443720926,1.0,0.0007433375946382134,0.0
