zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
79525,STANDARD,0,Hawley,,,TX,Jones County,America/Chicago,325,NA,US,32.6,-99.81,2990
79526,STANDARD,0,Hermleigh,,,TX,Scurry County,America/Chicago,325,NA,US,32.64,-100.76,870
79527,STANDARD,0,Ira,,,TX,Scurry County,America/Chicago,"325, 432",NA,US,32.58,-101,430
79528,STANDARD,0,Jayton,,,TX,Kent County,America/Chicago,"325, 806, 940",NA,US,33.25,-100.57,500
79529,STANDARD,0,Knox City,,,TX,Knox County,America/Chicago,"806, 940",NA,US,33.41,-99.81,1070
79530,STANDARD,0,Lawn,,,TX,Taylor County,America/Chicago,325,NA,US,32.13,-99.75,530
79532,STANDARD,0,Loraine,,,TX,Mitchell County,America/Chicago,325,NA,US,32.4,-100.71,700
79533,STANDARD,0,Lueders,,,TX,Jones County,America/Chicago,"325, 940",NA,US,32.79,-99.62,450
79534,STANDARD,0,Mc Caulley,,,TX,Fisher County,America/Chicago,325,NA,US,32.79,-100.22,160
79535,STANDARD,0,Maryneal,,,TX,Nolan County,America/Chicago,325,NA,US,32.23,-100.45,142
79536,STANDARD,0,Merkel,,"Blair, Noodle, Stith",TX,Taylor County,America/Chicago,325,NA,US,32.46,-100.01,4470
79537,STANDARD,0,Nolan,,,TX,Nolan County,America/Chicago,325,NA,US,32.27,-100.24,83
79538,STANDARD,0,Novice,,Content,TX,Coleman County,America/Chicago,325,NA,US,31.98,-99.62,250
79539,STANDARD,0,O Brien,,,TX,Haskell County,America/Chicago,940,NA,US,33.38,-99.84,128
79540,STANDARD,0,Old Glory,,,TX,Stonewall County,America/Chicago,"325, 940",NA,US,33.12,-100.05,109
79541,STANDARD,0,Ovalo,,,TX,Taylor County,America/Chicago,325,NA,US,32.17,-99.8,940
79543,STANDARD,0,Roby,,"Longworth, Royston",TX,Fisher County,America/Chicago,325,NA,US,32.74,-100.37,950
79544,STANDARD,0,Rochester,,,TX,Haskell County,America/Chicago,"325, 940",NA,US,33.31,-99.85,330
79545,STANDARD,0,Roscoe,,"Inadale, Pyron, Wastella",TX,Nolan County,America/Chicago,325,NA,US,32.44,-100.54,1710
79546,STANDARD,0,Rotan,,Raytown,TX,Fisher County,America/Chicago,"325, 806, 940",NA,US,32.85,-100.46,1440
79547,STANDARD,0,Rule,,Rolls,TX,Haskell County,America/Chicago,"325, 940",NA,US,33.18,-99.89,560
79548,STANDARD,0,Rule,Sagerton,,TX,Haskell County,America/Chicago,"325, 940",NA,US,33.05,-99.92,164
79549,STANDARD,0,Snyder,Dermott,"Clairemont, Union",TX,Scurry County,America/Chicago,"325, 806",NA,US,32.71,-100.91,11890
79550,PO BOX,0,Snyder,,,TX,Scurry County,America/Chicago,325,NA,US,32.71,-100.91,1065
79553,STANDARD,0,Stamford,,Tuxedo,TX,Jones County,America/Chicago,"325, 940",NA,US,32.94,-99.85,2690
79556,STANDARD,0,Sweetwater,,"Claytonville, Palava",TX,Nolan County,America/Chicago,325,NA,US,32.46,-100.4,10510
79560,STANDARD,0,Sylvester,,,TX,Fisher County,America/Chicago,325,NA,US,32.72,-100.25,117
79561,STANDARD,0,Trent,,,TX,Taylor County,America/Chicago,325,NA,US,32.48,-100.12,600
