County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PAP_Urban,PAP_Rural
Mitchell,Poverty,% NONVET POV 18 64,4.5393983719016635,0.3200275579466173,0.018013485602784377,0.6495000000000001,0.3505
Montague,Poverty,% NONVET POV 18 64,0.17564837190166394,0.012383209163781774,0.0006970173488161267,0.27140000000000003,0.7286
Montgomery,Poverty,% NONVET POV 18 64,5.704924687691136,0.4021971562073586,0.02263859003052038,0.7712,0.2288
Moore,Poverty,% NONVET POV 18 64,5.387731705234996,0.37983505284987834,0.021379887719186492,0.6854000000000001,0.3146
Morris,Poverty,% NONVET POV 18 64,8.372268294765005,0.590244864480816,0.03322328688398811,0.0,1.0
Motley,Poverty,% NONVET POV 18 64,6.364398371901663,0.44869004698211995,0.025255549094847864,0.0,1.0
Nacogdoches,Poverty,% NONVET POV 18 64,12.050895745745391,0.8495880776739466,0.047821014864069,0.5216999999999999,0.47829999999999995
Navarro,Poverty,% NONVET POV 18 64,1.1147682947650033,0.07859115808346755,0.004423683709384933,0.4633,0.5367
Newton,Poverty,% NONVET POV 18 64,12.953601628098339,0.9132288369564232,0.05140318106388229,0.0,1.0
Nolan,Poverty,% NONVET POV 18 64,3.065601628098337,0.21612489636297066,0.012165085825787049,0.7037999999999999,0.2962
Nueces,Poverty,% NONVET POV 18 64,0.33966412809833635,0.023946318990249744,0.0013478735241997473,0.9372,0.0628
Ochiltree,Poverty,% NONVET POV 18 64,2.487731705234996,0.1753850702729151,0.009871951211249981,0.8378,0.16219999999999998
Oldham,Poverty,% NONVET POV 18 64,0.22560162809833706,0.015904913425530878,0.0008952445559457818,0.0,1.0
Orange,Poverty,% NONVET POV 18 64,1.9202317052349969,0.13537632368242325,0.007619967084265859,0.6393,0.3607
Palo Pinto,Poverty,% NONVET POV 18 64,0.06960162809833648,0.004906914362770056,0.0002761969368981606,0.4961999999999999,0.5038
Panola,Poverty,% NONVET POV 18 64,1.1672555147588053,0.08229150677769033,0.0046319663284079575,0.2814,0.7186
Parker,Poverty,% NONVET POV 18 64,6.426122509832697,0.45304159833542273,0.025500486150129748,0.3565,0.6435
Parmer,Poverty,% NONVET POV 18 64,2.9093983719016627,0.20511256773956552,0.011545231634530405,0.0,1.0
Pecos,Poverty,% NONVET POV 18 64,4.534398371901663,0.31967505797665696,0.017993644332943103,0.5628,0.4372
Polk,Poverty,% NONVET POV 18 64,0.8932939357906431,0.06297721710638064,0.0035448172055184248,0.11159999999999999,0.8884
Potter,Poverty,% NONVET POV 18 64,3.563887342384051,0.251254036226441,0.014142410088825597,0.8874000000000001,0.1126
Presidio,Poverty,% NONVET POV 18 64,10.105601628098336,0.7124448540670467,0.04010159376229498,0.0,1.0
